,Unnamed: 0,votes,eevp,timestamp,state,expected_votes,trump2016,votes2012,votes2016,vote_share_rep,vote_share_dem,vote_share_trd,effective_vote_split,dem_votes,rep_votes,votes_change,split_change,rep_votes_change,dem_votes_change,dem_share,rep_share
0,0,0,0,2020-11-04T10:01:44Z,alaska,367000,163387,300495,318608,0.0,0.0,0,50.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
1,1,113744,31,2020-11-04T07:47:41Z,alaska,367000,163387,300495,318608,0.605,0.35200000000000004,0,63.21839080459769,40037.888000000006,68815.12,113744,13.21839080459769,68815.12,40037.888000000006,0.35200000000000004,0.605
2,2,132475,36,2020-11-04T08:57:55Z,alaska,367000,163387,300495,318608,0.614,0.34700000000000003,0,63.89177939646201,45968.825000000004,81339.65,18731,0.6733885918643239,12524.529999999999,5930.936999999998,0.316637499332657,0.6686525012012172
3,3,172031,56,2020-11-04T18:34:58Z,alaska,367000,163387,300495,318608,0.629,0.33,0,65.58915537017727,56770.23,108207.499,39556,1.6973759737152534,26867.849000000002,10801.404999999999,0.2730661593689958,0.679235741733239
4,4,0,0,2020-11-04T10:02:44Z,alabama,2300000,1318255,2074338,2123372,0.0,0.0,0,50.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
5,5,1053,0,2020-11-04T01:23:07Z,alabama,2300000,1318255,2074338,2123372,0.40700000000000003,0.585,0,41.028225806451616,616.005,428.571,1053,-8.971774193548384,428.571,616.005,0.585,0.40700000000000003
6,6,2190,0,2020-11-04T01:28:39Z,alabama,2300000,1318255,2074338,2123372,0.395,0.602,0,39.61885656970913,1318.3799999999999,865.0500000000001,1137,-1.409369236742485,436.47900000000004,702.3749999999999,0.6177440633245381,0.3838865435356201
7,7,3709,0,2020-11-04T01:29:35Z,alabama,2300000,1318255,2074338,2123372,0.506,0.489,0,50.854271356783926,1813.701,1876.7540000000001,1519,11.235414787074795,1011.7040000000001,495.32100000000014,0.3260836076366031,0.6660329163923634
8,8,4280,0,2020-11-04T01:32:46Z,alabama,2300000,1318255,2074338,2123372,0.52,0.474,0,52.313883299798796,2028.7199999999998,2225.6,571,1.4596119430148704,348.8459999999998,215.01899999999978,0.3765656742556914,0.6109387040280206
9,9,5249,0,2020-11-04T01:40:51Z,alabama,2300000,1318255,2074338,2123372,0.516,0.47600000000000003,0,52.01612903225807,2498.5240000000003,2708.484,969,-0.297754267540725,482.884,469.80400000000054,0.4848338493292059,0.4983323013415893
10,10,8971,0,2020-11-04T01:41:31Z,alabama,2300000,1318255,2074338,2123372,0.47200000000000003,0.52,0,47.58064516129033,4664.92,4234.312,3722,-4.435483870967744,1525.828,2166.3959999999997,0.5820515851692638,0.40994841483073613
11,11,9234,0,2020-11-04T01:42:13Z,alabama,2300000,1318255,2074338,2123372,0.46299999999999997,0.53,0,46.626384692849946,4894.02,4275.342,263,-0.9542604684403813,41.029999999999745,229.10000000000036,0.8711026615969596,0.15600760456273668
12,12,10648,0,2020-11-04T01:43:04Z,alabama,2300000,1318255,2074338,2123372,0.439,0.551,0,44.343434343434346,5867.048000000001,4674.472,1414,-2.2829503494156,399.1300000000001,973.0280000000002,0.6881386138613863,0.28227015558698737
13,13,11670,0,2020-11-04T01:45:58Z,alabama,2300000,1318255,2074338,2123372,0.475,0.515,0,47.97979797979798,6010.05,5543.25,1022,3.636363636363633,868.7780000000002,143.0019999999995,0.13992367906066486,0.8500763209393348
14,14,11672,0,2020-11-04T01:46:29Z,alabama,2300000,1318255,2074338,2123372,0.475,0.515,0,47.97979797979798,6011.08,5544.2,2,0.0,0.9499999999998181,1.0299999999997453,0.5149999999998727,0.47499999999990905
15,15,18631,1,2020-11-04T01:49:11Z,alabama,2300000,1318255,2074338,2123372,0.39799999999999996,0.5920000000000001,0,40.2020202020202,11029.552000000001,7415.137999999999,6959,-7.777777777777779,1870.9379999999992,5018.472000000002,0.721148440867941,0.2688515591320591
16,16,21290,1,2020-11-04T01:52:02Z,alabama,2300000,1318255,2074338,2123372,0.406,0.58,0,41.1764705882353,12348.199999999999,8643.74,2659,0.9744503862150964,1228.6020000000008,1318.6479999999974,0.495918766453553,0.462054155697631
17,17,23626,1,2020-11-04T01:55:09Z,alabama,2300000,1318255,2074338,2123372,0.423,0.564,0,42.85714285714286,13325.063999999998,9993.797999999999,2336,1.6806722689075642,1350.057999999999,976.8639999999996,0.41817808219178065,0.5779357876712324
18,18,30815,1,2020-11-04T01:56:07Z,alabama,2300000,1318255,2074338,2123372,0.452,0.5329999999999999,0,45.88832487309645,16424.394999999997,13928.380000000001,7189,3.03118201595359,3934.582000000002,3099.3309999999983,0.43112129642509367,0.5473058839894286
19,19,32278,1,2020-11-04T01:57:36Z,alabama,2300000,1318255,2074338,2123372,0.45399999999999996,0.53,0,46.138211382113816,17107.34,14654.212,1463,0.2498865090173652,725.8319999999985,682.9450000000033,0.46681134654819095,0.4961257689678732
20,20,40640,2,2020-11-04T02:00:03Z,alabama,2300000,1318255,2074338,2123372,0.46799999999999997,0.519,0,47.41641337386018,21092.16,19019.52,8362,1.2782019917463643,4365.308000000001,3984.8199999999997,0.47653910547715855,0.5220411384836164
21,21,57276,2,2020-11-04T02:02:35Z,alabama,2300000,1318255,2074338,2123372,0.462,0.526,0,46.76113360323887,30127.176000000003,26461.512000000002,16636,-0.6552797706213127,7441.992000000002,9035.016000000003,0.5431002644866556,0.4473426304400097
22,22,57720,2,2020-11-04T02:02:42Z,alabama,2300000,1318255,2074338,2123372,0.465,0.523,0,47.064777327935225,30187.56,26839.800000000003,444,0.30364372469635725,378.28800000000047,60.383999999998196,0.13599999999999593,0.8520000000000011
23,23,60973,3,2020-11-04T02:03:00Z,alabama,2300000,1318255,2074338,2123372,0.489,0.499,0,49.493927125506076,30425.527,29815.797,3253,2.429149797570851,2975.9969999999958,237.96699999999691,0.07315308945588593,0.9148469105441118
24,24,61798,3,2020-11-04T02:04:16Z,alabama,2300000,1318255,2074338,2123372,0.491,0.49700000000000005,0,49.69635627530364,30713.606000000003,30342.818,825,0.20242914979756677,527.0210000000006,288.0790000000052,0.349186666666673,0.6388133333333341
25,25,64748,3,2020-11-04T02:06:06Z,alabama,2300000,1318255,2074338,2123372,0.498,0.49,0,50.40485829959514,31726.52,32244.504,2950,0.7085020242914979,1901.6860000000015,1012.913999999997,0.3433606779661007,0.6446393220338988
26,26,66834,3,2020-11-04T02:08:52Z,alabama,2300000,1318255,2074338,2123372,0.49700000000000005,0.49,0,50.35460992907801,32748.66,33216.49800000001,2086,-0.05024837051713149,971.994000000006,1022.1399999999994,0.4899999999999997,0.4659606903163979
27,27,87270,4,2020-11-04T02:09:29Z,alabama,2300000,1318255,2074338,2123372,0.5379999999999999,0.449,0,54.50861195542046,39184.23,46951.259999999995,20436,4.154002026342454,13734.761999999988,6435.570000000003,0.31491338813857916,0.6720866118614204
28,28,87819,4,2020-11-04T02:09:46Z,alabama,2300000,1318255,2074338,2123372,0.54,0.447,0,54.711246200607896,39255.093,47422.26,549,0.20263424518743278,471.0000000000073,70.86299999999756,0.12907650273223598,0.8579234972677728
29,29,96685,4,2020-11-04T02:10:50Z,alabama,2300000,1318255,2074338,2123372,0.501,0.485,0,50.811359026369175,46892.225,48439.185,8866,-3.899887174238721,1016.9249999999956,7637.131999999998,0.8613954432664107,0.11469941348973557
30,30,102521,4,2020-11-04T02:12:20Z,alabama,2300000,1318255,2074338,2123372,0.514,0.473,0,52.07700101317123,48492.433,52695.794,5836,1.265641986802052,4256.609000000004,1600.2079999999987,0.2741960246744343,0.7293709732693633
31,31,106641,4,2020-11-04T02:12:31Z,alabama,2300000,1318255,2074338,2123372,0.517,0.47,0,52.38095238095238,50121.27,55133.397000000004,4120,0.3039513677811527,2437.603000000003,1628.8369999999995,0.3953487864077669,0.5916512135922337
32,32,110254,5,2020-11-04T02:16:36Z,alabama,2300000,1318255,2074338,2123372,0.522,0.466,0,52.834008097166,51378.364,57552.588,3613,0.45305571621361906,2419.190999999999,1257.0940000000046,0.34793634099086757,0.6695795737614167
